*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143259109 : Tx: [00][FF][FF][FF][73][2C][A7][48]
1143259343 : Tx: [00][FF][FF][FF][73][2C][A7][48]
1143259593 : Tx: [00][FF][FF][FF][73][2C][A7][48]
1143259843 : Tx: [80][FF][FF][FF][C8][2F][A8][48]
1143260093 : Tx: [80][FF][FF][FF][C8][2F][A8][48]
1143260328 : Tx: [80][FF][FF][FF][C8][2F][A8][48]
1143260578 : Tx: [80][FF][FF][FF][1D][33][A9][48]
1143260828 : Tx: [00][FF][FF][FF][1D][33][A9][48]
1143261078 : Tx: [00][FF][FF][FF][1D][33][A9][48]
1143261312 : Tx: [00][FF][FF][FF][1D][33][A9][48]
1143261562 : Tx: [00][FF][FF][FF][72][36][AA][48]
1143261812 : Tx: [80][FF][FF][FF][72][36][AA][48]
1143262062 : Tx: [80][FF][FF][FF][72][36][AA][48]
1143262296 : Tx: [80][FF][FF][FF][C7][39][AB][48]
1143262546 : Tx: [80][FF][FF][FF][C7][39][AB][48]
1143262796 : Tx: [00][FF][FF][FF][C7][39][AB][48]
1143263046 : Tx: [00][FF][FF][FF][1C][3D][AC][48]
1143263281 : Tx: [00][FF][FF][FF][1C][3D][AC][48]
1143263531 : Tx: [00][FF][FF][FF][1C][3D][AC][48]
1143263781 : Tx: [80][FF][FF][FF][1C][3D][AC][48]
1143264031 : Tx: [87][64][55][13][71][40][AD][48]
1143264265 : Tx: [87][64][55][13][71][40][AD][48]
1143264515 : Tx: [87][64][55][13][71][40][AD][48]
1143264765 : Tx: [07][64][55][13][C6][43][AE][48]
1143265015 : Tx: [00][FF][FF][FF][C6][43][AE][48]
1143265250 : Tx: [00][FF][FF][FF][C6][43][AE][48]
1143265500 : Tx: [00][FF][FF][FF][1B][47][AF][48]
1143265750 : Tx: [80][FF][FF][FF][1B][47][AF][48]
1143266000 : Tx: [80][FF][FF][FF][1B][47][AF][48]
1143266234 : Tx: [80][FF][FF][FF][1B][47][AF][48]
1143266484 : Tx: [80][FF][FF][FF][70][4A][B0][48]
1143266734 : Tx: [00][FF][FF][FF][70][4A][B0][48]
1143266984 : Tx: [00][FF][FF][FF][70][4A][B0][48]
1143267218 : Tx: [00][FF][FF][FF][C5][4D][B1][48]
1143267468 : Tx: [00][FF][FF][FF][C5][4D][B1][48]
1143267718 : Tx: [80][FF][FF][FF][C5][4D][B1][48]
1143267968 : Tx: [80][FF][FF][FF][C5][4D][B1][48]
1143268218 : Tx: [80][FF][FF][FF][1A][51][B2][48]
1143268453 : Tx: [80][FF][FF][FF][1A][51][B2][48]
1143268703 : Tx: [00][FF][FF][FF][1A][51][B2][48]
1143268953 : Tx: [00][FF][FF][FF][6F][54][B3][48]
1143269203 : Tx: [00][FF][FF][FF][6F][54][B3][48]
1143269437 : Tx: [00][FF][FF][FF][6F][54][B3][48]
1143269687 : Tx: [80][FF][FF][FF][C4][57][B4][48]
1143269937 : Tx: [80][FF][FF][FF][C4][57][B4][48]
